Funds	
null	
Price search	

Instrument's name	ISIN	Euronext code	Market	Symbol	Trading currency	Last	Volume	D/D-1 (%)	Date - time (CET)	Turnover	Trading mode	Day First	Day High	Day High / Date - time (CET)	Day Low	Day Low / Date - time (CET)	 31-12/Change (%)	 31-12/High	 31-12/High/Date	 31-12/Low	 31-12/Low/Date	 52 weeks/Change (%)	 52 weeks/High	 52 weeks/High/Date	 52 weeks/Low	 52 weeks/Low/Date	Halted	Halted / Date - time (CET)	Halted	Halted / Date - time (CET)
ING ENERGY FD 2	NL0000289791	NL0000289791	AMS	INGGY	EUR	38.05	10 191	2.59	16/07/09 10:00	387 768	null	38.05	38.05	16/07/09 10:00	38.05	16/07/09 10:00	11.06	42.39	12/06/09	32.65	04/03/09	-32.61	56.32	28/08/08	32.21	21/11/08	-	-	-	-
ING EU SM CP FD	NL0006311730	NL0006311730	AMS	INGSC	EUR	29.34	701	2.37	16/07/09 10:00	20 567	null	29.34	29.34	16/07/09 10:00	29.34	16/07/09 10:00	25.44	30.69	15/06/09	20.5	10/03/09	-25.10	42.75	12/08/08	20.5	10/03/09	-	-	-	-
ING EUR GROWTH FD	NL0000292753	NL0000292753	AMS	INGEG	EUR	13.76	3 421	2.38	16/07/09 10:00	47 073	null	13.76	13.76	16/07/09 10:00	13.76	16/07/09 10:00	10.08	14.47	03/06/09	10.73	10/03/09	-21.42	18.64	03/09/08	10.73	10/03/09	-	-	-	-
ING EURO CR OBL FD	NL0006311854	NL0006311854	AMS	INGEC	EUR	21.4	1 261	-0.33	16/07/09 10:00	26 985	null	21.4	21.4	16/07/09 10:00	21.4	16/07/09 10:00	0.47	21.7	04/06/09	19.22	18/03/09	-8.19	23.72	20/08/08	19.22	18/03/09	-	-	-	-
ING EURO OBLI FD	NL0006311797	NL0006311797	AMS	INGEU	EUR	35.08	13 950	0.09	16/07/09 10:00	489 366	null	35.08	35.08	16/07/09 10:00	35.08	16/07/09 10:00	0.34	36	22/05/09	34.28	08/06/09	2.78	36	22/05/09	33.77	22/07/08	-	-	-	-
ING EUROPE FUND 20	NL0000292332	NL0000292332	AMS	EFING	EUR	16.4	19 004	2.95	16/07/09 10:00	311 666	null	16.4	16.4	16/07/09 10:00	16.4	16/07/09 10:00	7.26	17.88	02/06/09	12	10/03/09	-20.85	22.38	03/09/08	12	10/03/09	-	-	-	-
ING FAR EAST FD	NL0006311755	NL0006311755	AMS	INGFE	EUR	24.7	5 852	0.45	16/07/09 10:00	144 544	null	24.7	24.7	16/07/09 10:00	24.7	16/07/09 10:00	11.31	26	02/06/09	19.32	10/03/09	-14.92	30.24	24/07/08	19.32	10/03/09	-	-	-	-
ING FINANC FUND 10	NL0000286169	NL0000286169	AMS	INGFI	EUR	9.99	18 856	2.67	16/07/09 10:00	188 371	null	9.99	9.99	16/07/09 10:00	9.99	16/07/09 10:00	8.23	10.78	11/05/09	5.99	10/03/09	-27.24	16.16	09/09/08	5.99	10/03/09	-	-	-	-
ING FIRSTCLAS FD30	NL0000286441	NL0000286441	AMS	INKOF	EUR	22.9	19 077	0.04	16/07/09 10:00	436 863	null	22.9	22.9	16/07/09 10:00	22.9	16/07/09 10:00	4.57	22.95	08/07/09	21.26	18/03/09	-0.61	23.34	07/08/08	21.26	18/03/09	-	-	-	-
ING GLOB GROWTH FD	NL0000287928	NL0000287928	AMS	INGGG	EUR	16.34	57 828	1.87	16/07/09 10:00	944 910	null	16.34	16.34	16/07/09 10:00	16.34	16/07/09 10:00	25.69	16.87	15/06/09	12.93	10/03/09	-8.97	19.19	29/08/08	12.2	21/11/08	-	-	-	-
ING GLOB RL EST FD	NL0006311847	NL0006311847	AMS	INGGR	EUR	40.39	9 591	1	16/07/09 10:00	387 380	null	40.39	40.39	16/07/09 10:00	40.39	16/07/09 10:00	-9.3	47.89	07/01/09	34.28	10/03/09	-26.90	64.13	12/09/08	34.28	10/03/09	-	-	-	-
